,Date,Text,Likes,Retweets
0,2020-04-02 18:48:05,TO ALL INTERESTED I CAN NOT GET VERIFIED ON TWITTER BEEN TRYING FOR DAYSpic.twitter.com/CtJO2qxqRT,777,61
1,2020-04-02 18:32:49,WHAT A BEAUTIFUL PERSON SO SAD IT EVEN HAD TO BE A CHOSE. GOD BLESShttps://twitter.com/PetiMF/status/1245454785353879552 …,78,3
2,2020-04-02 18:27:16,pic.twitter.com/de3ByYG28l,187,21
3,2020-04-01 20:17:09,#FreeJoeExotic #tigerking JOE IS STILL IN QUARENTINE. THERE ARE NOT CASES THERE. FOR EVERYONE WHO HAS THIS ILLNESS AND THAT YOU ALL RECOVER SOON. FOR ALL THE SOULS WE HAVE LOST IN THE WORLD DUE TO THIS. JOE SENDS HIS AND THANKS. HE WILL SOON BE BACK TO ANSWER YOU ALL SOON,613,73
4,2020-03-31 16:02:06,#NewProfilePicpic.twitter.com/kUQhZJtptG,837,110
5,2018-06-27 03:46:16,I ain't quitting https://twitter.com/KendraS1234/status/1011815147810295808 …,139,6
6,2018-06-27 03:45:53,"Dear friends,  voters and supporters.  You the people won today.
https://m.facebook.com/story.php?story_fbid=993157810853022&id=100004764370656 …",64,4
7,2018-06-27 00:19:10,Come onhttps://twitter.com/KylePlatt/status/1011755105522208769 …,9,0
8,2018-06-27 00:17:33,Yes come every one they are expecting you all https://twitter.com/ElrodKyle/status/1011756968007163907 …,11,1
9,2018-06-26 23:30:14,"Party at Packards 201 NW 10th St
Oklahoma City, Oklahoma 73103
At 7pm",51,18
10,2018-06-26 20:25:48,https://www.facebook.com/groups/oklahomalibertarians/permalink/10155680746563325/ …https://twitter.com/harleyknight_/status/1011702793089048578 …,4,1
11,2018-06-26 20:23:41,"Here ya go
No voters for 788 running the polling places
https://www.facebook.com/groups/oklahomalibertarians/permalink/10155680746563325/ …",13,0
12,2018-06-26 17:22:16,Let's do thispic.twitter.com/Q8A9l1ZQfJ,59,21
13,2018-06-26 13:04:03,Go vote for @joe_exotic today!!!!! As well as YES on question 788!!! #OkLeg,12,4
14,2018-06-26 13:14:48,"Oklahoma peeps! I’m in Japan so I can’t vote, but please, for me, go vote yes on 788 and vote @joe_exotic for governor",16,5
15,2018-06-26 15:42:58,@joe_exotic Fix this shit bay ba babaypic.twitter.com/NSmqCBzJRN,24,5
16,2018-06-26 17:19:45,They have to by law. Go back and make them https://twitter.com/Typackanbeast/status/1011653438688677891 …,5,0
17,2018-06-26 14:45:47,"Don't forget to bring your drivers license or state issued ID when you go to vote, don't give them an excuse to not give you a ballot! Vote Joe Exotic for Governor and Vote yes on 788! https://www.facebook.com/Josephmaldonadogovernor/posts/2626848267341495 …",13,5
18,2018-06-26 13:09:06,GO VOTE JOE EXOTIC AND YES SQ788,74,45
19,2018-06-26 13:03:36,GO VOTE. YOUR RIGHTS DEPEND ON IT.,53,28
20,2018-06-26 04:04:12,Vote joe!https://twitter.com/joe_exotic/status/1011442669237751808 …,7,2
21,2018-06-26 03:17:30,You have to be a libertarian til vote for me Tommarow. Connie Johnson is the best Democrat choice. Republicas choices all hate SQ788 and crookshttps://twitter.com/PizzaTammer/status/1011447474526056448 …,13,2
22,2018-06-26 02:54:58,"Tomorrow vote.....
Yes to SQ788

Libertarians vote Joe Exotic for governor.

Democrats vote Connie Johnson for governor.

Republicans.... You are just screrwed but if you must waste that vote give it to Kevin Stitt .",206,34
23,2018-06-25 01:56:35,pic.twitter.com/nfkrV5Lsi7,29,1
24,2018-06-25 01:56:21,pic.twitter.com/9dgyPpDPLv,20,1
25,2018-06-25 01:55:47,Pride was great vote #fixthisshit,8,2
26,2018-06-24 15:23:08,"On meet the press this morning Todd Lamb is against SQ788
#fixthisshit",19,2
27,2018-06-24 04:27:24,He has the coolest campaign signs. Unique as hell. Not block red letters,2,1
28,2018-06-24 02:21:29,#voteforjoehttps://twitter.com/joe_exotic/status/1010686385504866304 …,11,4
29,2018-06-24 00:49:46,Hard day campaigningpic.twitter.com/vTeOGQP4WJ,56,25
30,2018-06-23 21:50:49,"In Ontario, we've elected someone who will work #ForThePeople, @fordnation. Very soon, Oklahomans will have the choice to elect someone who will work for them. That person is @joe_exotic. He's going to #FixThisShit for the people of Oklahoma. #uspoli #onpolipic.twitter.com/ymsaLkDwJI",8,3
31,2018-06-23 20:12:53,3 days until you decide your future,15,9
32,2018-06-23 19:45:26,Got support going at pride and put out over 200 yard signs todaypic.twitter.com/A3Ejw7GJru,7,1
33,2018-06-23 16:41:41,"It's not just the GOP.
They wouldn't let me in either.http://m.news9.com/story.aspx?story=38408836&catId=112032 …",4,0
34,2018-06-23 15:50:00,I with you Joe!!! Let's #FixThisShit,2,2
35,2018-06-23 15:42:04,"So they are running ads to vote no for SQ788 just to confuse people that dont know.
Vote yes and take your rights back.",100,39
36,2018-06-23 03:13:44,Early voters are messaging that they are voting to #fixthisshit,11,5
37,2018-06-22 23:44:22,Told everyone I know that @joe_exotic is the right choice. #fixthisshit,3,1
38,2018-06-22 15:13:06,Joe for Governorhttps://twitter.com/joe_exotic/status/1009945417503657984 …,14,3
39,2018-06-21 23:55:14,Just an everyday hero #fixthisshit,4,1
40,2018-06-21 23:45:26,5 more days to go vote for legalization of medical marijuana and vote Joe Exotic for Oklahoma governor #fixthisshit,63,11
41,2018-06-20 04:10:29,@joe_exotic SPOTTED!! #joe4educationpic.twitter.com/VoMXWuM5NH,6,5
42,2018-06-20 15:17:10,Only 6 days until we vote for legal marijuana under our future governor @joe_exotic,16,4
43,2018-06-19 04:36:59,"You ever wonder why people care more about the welfare of dogs, cats, cows, chickens then we do about our elderly, kids, and homeless people?
Because they make money on heart stings of animals and sell TV ads to raise money on animals. We lost our morale #fixthisshit",11,1
44,2018-06-19 04:08:22,"BULLSHIT,,, VOTE YEShttps://twitter.com/johnson_brandp/status/1008903488292753410 …",38,11
45,2018-06-19 03:30:03,Oklahoma made it a felony to hire an illegal immigrant.  Strike that law downhttps://twitter.com/DixonDoogie/status/1008897137629908993 …,7,0
46,2018-06-19 01:19:55,yes joe preach it to em,1,1
47,2018-06-19 01:18:24,They are not all criminals.  Then let's kick out everyone that commits a crime https://twitter.com/HunternTX/status/1008806766707204096 …,26,2
